Run	condition
SRR975551	SRR975551	primary_colorectal_cancer
SRR975552	SRR975552	primary_colorectal_cancer
SRR975553	SRR975553	primary_colorectal_cancer
SRR975554	SRR975554	primary_colorectal_cancer
SRR975555	SRR975555	primary_colorectal_cancer
SRR975556	SRR975556	primary_colorectal_cancer
SRR975557	SRR975557	primary_colorectal_cancer
SRR975558	SRR975558	primary_colorectal_cancer
SRR975559	SRR975559	primary_colorectal_cancer
SRR975560	SRR975560	primary_colorectal_cancer
SRR975561	SRR975561	primary_colorectal_cancer
SRR975562	SRR975562	primary_colorectal_cancer
SRR975563	SRR975563	primary_colorectal_cancer
SRR975564	SRR975564	primary_colorectal_cancer
SRR975565	SRR975565	primary_colorectal_cancer
SRR975566	SRR975566	primary_colorectal_cancer
SRR975567	SRR975567	primary_colorectal_cancer
SRR975568	SRR975568	primary_colorectal_cancer
SRR975569	SRR975569	normal_colon
SRR975570	SRR975570	normal_colon
SRR975571	SRR975571	normal_colon
SRR975572	SRR975572	normal_colon
SRR975573	SRR975573	normal_colon
SRR975574	SRR975574	normal_colon
SRR975575	SRR975575	normal_colon
SRR975576	SRR975576	normal_colon
SRR975577	SRR975577	normal_colon
SRR975578	SRR975578	normal_colon
SRR975579	SRR975579	normal_colon
SRR975580	SRR975580	normal_colon
SRR975581	SRR975581	normal_colon
SRR975582	SRR975582	normal_colon
SRR975583	SRR975583	normal_colon
SRR975584	SRR975584	normal_colon
SRR975585	SRR975585	normal_colon
SRR975586	SRR975586	normal_colon
